,tanggal,judul
0,2021-12-01,"Genoa Vs AC Milan, Shevchenko Ingin Buat Mantan Klub Kesulitan"
1,2021-12-01,ODHA di Depok Masih Dapat Stigma Negatif
2,2021-12-01,Pemprov Jakarta Bentuk Tim Khusus Awasi Alat Makan Bahan Melamin Tak Ber-SNI
3,2021-12-01,Penonton Lokal Piala AFF 2020 Acuhkan 5 Aturan Ini
4,2021-12-01,"Pada Akhir Pekan, Penumpang di Bandara Soekarno-Hatta Capai 90.000 Orang"
5,2021-12-01,"PPKM Level 2, Regulasi PTM di Jakarta Barat Tidak Berubah"
6,2021-12-01,"Link Live Streaming Bologna Vs Roma, Kick-off Pukul 00.30 WIB"
7,2021-12-01,"Singgung Varian Corona Omicron, Menlu Ungkap 4 Agenda RI Wujudkan Visi 2045 "
8,2021-12-01,"Real Madrid Vs Athletic Bilbao, Singa Basque Wajib Waspadai Benzema"
9,2021-12-01,Pelatih Timnas China Akui Kesulitan lantaran Covid-19
10,2021-12-01,"Mensos Ingatkan Guru Ajarkan Siswa Tak ""Bully"" Penyandang Disabilitas"
11,2021-12-01,"Link Live Streaming Inter Milan Vs Spezia, Kick-off Pukul 00.30 WIB"
12,2021-12-01,Ragam Istilah Teknis pada AC yang Perlu Diketahui
13,2021-12-01,"Massa Reuni 212 Bakal Kumpul di Patung Kuda, Ini Respons Wagub DKI"
14,2021-12-01,MyPertamina Fair 2021 Siap Manjakan Pelanggan Setia Pertamina
15,2021-12-01,"Dugaan Korupsi Dana KONI Padang, Pengurus Cabor Minta Kejari Usut Aliran Dana"
16,2021-12-01,"Daftar 5 ""Veteran"" di Skuad Timnas Indonesia untuk Piala AFF 2020"
17,2021-12-01,Ambisi Guangzhou FC Raih Kali Kesembilan Juara Liga Super China
18,2021-12-01,"Selidiki Tewasnya Anggota FBR Joglo, Polisi: Pemeriksaan Saksi Tanpa Bawa Nama Ormas"
19,2021-12-01,Gunung Merapi Keluarkan 2 Awan Panas Guguran Malam Ini
20,2021-12-01,"Jokowi Lantik Anggota Komnas Disabilitas, Mensos: Beban Saya Turun"
21,2021-12-01,Warga Akan Patungan jika Pemkot Tak Segera Ganti Tutup Gorong-gorong di Margonda yang Hilang
22,2021-12-01,"Cilegon Berpotensi Tsunami 8 Meter, Wali Kota Minta Alarm Tanda Bahaya Dicek"
23,2021-12-01,Kunto Aji Sebut Lagu Terlalu Lama Sendiri Selamatkan Kariernya
24,2021-12-01,6 Langkah Ini Jadi Kewajiban Tim di Piala AFF 2020
25,2021-12-01,"Disenggol Mobil di Flyover Pekanbaru, Pemotor Tewas Terjatuh dari Ketinggian 5 Meter"
26,2021-12-01,Alex Pina Ungkap Pandangannya untuk Money Heist yang Tamat di Season 5 Volume 2
27,2021-12-01,"Catat, 4 Benda Ini Tidak Boleh Dibuang Sembarangan"
28,2021-12-01,"Harga Minyak Goreng di Jakut Tembus Rp 22.000 per Liter, Pedagang: Naik Terus Tiap Minggu"
29,2021-12-01,"UPDATE: Tambah 70 Kasus di Jakarta, 462 Pasien Covid-19 Masih Dirawat"
30,2021-12-01,"MIN 1, MTsN 1 dan MAN 2 Banyumas Persiapkan Diri Menuju Madrasah Berasrama"
31,2021-12-01,"Pernah Alami Penyumbatan Empedu, Kunto Aji Rasakan Sakit sampai Kurus"
32,2021-12-01,"Money Heist Season 5 Volume 2 Siap Tayang, Apa Perbedaannya dengan Volume 1?"
33,2021-12-01,Pengusaha Properti dan DPRD Gresik Bantu Warga Terdampak Banjir Kali Lamong
34,2021-12-01,"BWF World Tour Finals, Alasan Kevin Tampil Beda Pakai ""Headband"""
35,2021-12-01,Taat Prokes di Fasyankes dan Kolaborasi Multipihak Jadi Kunci Pencegahan Stunting
36,2021-12-01,Polisi Sebut Terduga Teroris di Luwu Timur Pernah Berlatih Pakai Senpi M16
37,2021-12-01,Raditya Dika Telah Siapkan Dana Pernikahan Anaknya yang Masih Berusia 2 Tahun
38,2021-12-01,Respons Sahroni Diminta Mundur sebagai Ketua Pelaksana Formula E Jakarta
39,2021-12-01,"Buruh Protes UMP 2022, Menteri Bahlil: Yang Penting Dapat Gaji"
40,2021-12-01,"Usai Dirundung Pandemi Covid-19, Liga Super China Kembali Bangkit"
41,2021-12-01,"Hasil Olah TKP Kasus Pelecehan Seksual Mahasiswi Unsri, Dosen Paksa Korban Pegang Kemaluannya"
42,2021-12-01,"Minta Parlemen Didik Taliban agar Tidak Terlihat sebagai Teroris, Politisi Malaysia Tuai Hujatan"
43,2021-12-01,Alasan Grealish Tidak Mau Main di Manchester United
44,2021-12-01,"Kata Luhut, Turis di Bali Paling Irit Dibanding Thailand dan Malaysia"
45,2021-12-01,"Hamil Jalani Pemeriksaan Polisi, Lesti Kejora: Enggak Kepikiran "
46,2021-12-01,10 Tips Mendekorasi Ruangan agar Lebih Nyaman dan Tertata
47,2021-12-01,"Cerita Kunto Aji Lalui Cobaan Berat, Tiba-tiba Sakit Ketika Ingin Wujudkan Mimpinya"
48,2021-12-01,"Besi Penutup Gorong-gorong di Margonda Dicuri, 2 Minggu Belum Diperbaiki"
49,2021-12-01,8 Manfaat Perdagangan Internasional
50,2021-12-01,Mengungkap Desain Jembatan Kretek 2 di Lokasi Rawan Gempa dan Likuifaksi
51,2021-12-01,"2,5 Juta Warga Jakarta Belum Divaksin Covid-19 Dosis Kedua"
52,2021-12-01,"Kecewa dengan Putusan Ganjar soal UMK, Buruh di Jateng Berencana Menggugat"
53,2021-12-01,BEM UI Pecat Seorang Pengurusnya Terkait Kekerasan Seksual
54,2021-12-01,"Kunjungi Kapolri, Jenderal Dudung: Sowan sebagai Pejabat Baru KSAD "
55,2021-12-01,"Hasil BWF World Tour Finals 2021: Marcus/Kevin Revans, Praveen/Melati Tumbang"
56,2021-12-01,"Presiden PSG Buka Suara, Mbappe Batal Hijrah ke Real Madrid?"
57,2021-12-01,"Setelah Tidak Lagi Syuting, Putri Patricia Sempat Kerja Kantoran"
58,2021-12-01,Australia Tunda Buka Perbatasan akibat Varian Omicron
59,2021-12-01,"Hari AIDS Sedunia, Kenali Gejala HIV sejak Minggu Pertama Terinfeksi"
60,2021-12-01,Cara Rian D'MASIV Tetap Aktif Bermusik dan Berbisnis di Masa Pandemi 
61,2021-12-01,"Raih Penghargaan FFI 2021, Film Nussa Bakal Tayang di Bioskop Online"
62,2021-12-01,"Pembukaan Presidensi G20, Jokowi: Saya Undang Para Delegasi Datang ke Indonesia"
63,2021-12-01,"Laba Konsolidasi BUMN Capai Rp 61 Triliun, Industri Keuangan Penyumbang Terbesar"
64,2021-12-01,"22 Korban Penipuan Marinir Gadungan Berpangkat Mayjen Lapor ke Polisi, Kerugian Capai Rp 500 Juta "
65,2021-12-01,6 Gejala Asam Urat yang Perlu Diwaspadai
66,2021-12-01,Kemenkes Sebut Varian Omicron Sudah Terdeteksi di 23 Negara
67,2021-12-01,"5 Restoran Fine Dining di Bali, Cocok untuk Liburan Romantis di Bali"
68,2021-12-01,BWF World Tour Finals: Marcus/Kevin Senang Revans atas Juara Olimpiade
69,2021-12-01,Sampah Antariksa Berkecepatan Tinggi Bikin Astronot Gagal Spacewalk
70,2021-12-01,"Ayah di Ponorogo Cabuli 2 Anak Kandung Selama 8 Tahun, Pelaku Dilaporkan Istri ke Polisi"
71,2021-12-01,"Kota Bogor Turun ke PPKM Level 2, Kemungkinan karena Klaster PTM Terbatas"
72,2021-12-01,"Video Viral Hewan Mirip Jari Tangan, Apa Itu? Ini Penjelasan Ahli LIPI"
73,2021-12-01,Ini Deretan Hunian Perumnas yang Bisa Dipilih Warga Jabodetabek
74,2021-12-01,Sikap Awal Push-up
75,2021-12-01,5 Tanda Kucing Marah dengan Pemiliknya
76,2021-12-01,"Terungkap, Sopir Angkutan Barang di Medan Dibunuh Sahabatnya karena Dendam "
77,2021-12-01,"Apa itu NPWP: Pengertian, Manfaat, Jenis, dan Fungsinya"
78,2021-12-01,Mensesneg: Untuk Pertama Kalinya Komnas Disabilitas Dibentuk
79,2021-12-01,"Empat Hari HST Kalsel Terendam Banjir, Pengungsi Mulai Keluhkan Gatal-gatal"
80,2021-12-01,"Kembali Hadir, FFFest 2021 Jadi Event Kolaborasi Online Terbesar di Indonesia"
81,2021-12-01,"Tabrak Truk Fuso yang Sedang Berhenti di Bypass Bandara Lombok, Seorang Pengendara Motor Tewas"
82,2021-12-01,"Reksadana Pasar Uang: Definisi, Keuntungan, dan Risikonya"
83,2021-12-01,Cerita Warga Gunungkidul Relakan Tanahnya Ditempati SD Selama Puluhan Tahun
84,2021-12-01,"Dua Mahasiswi Unsri Kembali Jadi Korban Pelecehan Seksual, Kali Ini Dilakukan Oknum Staf Kampus"
85,2021-12-01,"Dengar Pidato Cak Nun, Indro Enggan Bikin Biopik Warkop DKI "
86,2021-12-01,Lirik dan Chord Lagu 5:15 AM - Mark Knopfler
87,2021-12-01,Petenis Johanna Konta Putuskan Pensiun
88,2021-12-01,"SKK Migas: Perjalanan Menuju ""Net Zero Emission"" Bukan Sprint..."
89,2021-12-01,"UPDATE 1 Desember: 292.143 Spesimen Terkait Covid-19 Diperiksa, Positivity Rate PCR 0,76 Persen"
90,2021-12-01,"Hikmah Raditya Dika soal Khawatirkan Masa Depan, Akhirnya Siapkan Dana Pensiun"
91,2021-12-01,"ODGJ yang Bakar Rumah Warga di Blitar Pernah Bunuh Orang, Camat: Sampai Ditolak Panti Rehabilitasi"
92,2021-12-01,Apindo Karawang: UMK 2022 hanya Berlaku untuk Karyawan yang Belum Setahun Kerja
93,2021-12-01,Jokowi: Saya Ingin Presidensi Indonesia di G20 Tak Sebatas Seremonial
94,2021-12-01,RSUD Kota Depok Siapkan Tangki Oksigen Kapasitas 10 Ton untuk Antisipasi Gelombang Ketiga Covid-19
95,2021-12-01,INFOGRAFIK: Aturan Terbaru Karantina Perjalanan Internasional
96,2021-12-01,Lirik dan Chord Lagu Fifteen Minutes - Mike Krol
97,2021-12-01,"Hari AIDS Sedunia, Apa Bedanya HIV dengan AIDS?"
98,2021-12-01,9 Ruas Tol Trans-Sumatera Siap Digunakan Libur Natal dan Tahun Baru
99,2021-12-01,Ini Tarif Pajak Penghasilan Badan dan Cara Menghitungnya
100,2021-12-01,90 Persen Pasien Covid-19 di Wisma Atlet Kemayoran WNI Repatriasi
101,2021-12-01,"Program Pembibitan Ikan di Pangkalpinang Terancam Mandek, gara-gara Tak Ada Anggaran"
102,2021-12-01,"Cedera Pinggang, Kento Momota Mundur dari BWF World Tour Finals 2021 "
103,2021-12-01,"Wisatawan Mancanegara Mulai Ramai Kunjungi Jakarta, Paling Banyak dari China"
104,2021-12-01,8 Ras Anjing Terbaik untuk Berburu
105,2021-12-01,"Bantu Atasi Stunting di Medan, Kadin Serahkan 200 Timbangan Bayi ke Kahiyang Ayu"
106,2021-12-01,Randy Martin Masih Betah Jomlo sejak Putus dari Cassandra Lee
107,2021-12-01,Lirik dan Chord Lagu Love Scene - Baekhyun EXO
108,2021-12-01,"Rumah Dinasnya Diserang Preman, Wakil Ketua DPRD Riau Mengaku Dapat SMS Ancaman"
109,2021-12-01,"Dua Bulan PTM Terbatas, 22 Murid dan 16 Tenaga Pendidik di Tangsel Positif Covid-19"
110,2021-12-01,"1.244 Warga Depok Idap HIV/AIDS, Paling Banyak di Pancoran Mas"
111,2021-12-01,Indonesia Larang Kedatangan WNA dari 11 Negara akibat Varian Omicron 
112,2021-12-01,"Dikeluhkan karena Turun Terus , Berapa Sebenernya Anggaran MPR?"
113,2021-12-01,Tarif Cukai Rokok Kemungkinan Terbit Pekan Depan
114,2021-12-01,"BMKG Peringatkan Potensi Siklon Tropis Teratai di Samudera Hindia, Barat Daya Lampung"
115,2021-12-01,"Viral, Video Tukang Parkir Pasar Ludahi Perempuan Berdaster di Medan, Ini Kata Polisi"
116,2021-12-01,Lirik dan Chord Lagu I Don't Wanna Have to Lie - Lolo
117,2021-12-01,"5 Fakta Menarik Serial Terbaru Reza Rahadian, Layangan Putus"
118,2021-12-01,Solidaritas Jurnalis di Semarang untuk Nurhadi Korban Kekerasan Saat Liputan
119,2021-12-01,"Dekat dengan Kehidupan, Bony Wirasmono Sebut Film Nussa Cocok Ditonton Semua Kalangan"
120,2021-12-01,Mantan Perdana Menteri Lesotho Didakwa atas Pembunuhan Istrinya
121,2021-12-01,"Sepenggal Cerita Petani Tembakau, dari Warisan hingga Cinta..."
122,2021-12-01,5 Aplikasi Gratis untuk Berbagi File di Ponsel Android
123,2021-12-01,"Polisi: Peran 2 Terduga Teroris di Luwu Timur, Siapkan Tempat Pertemuan dan Jaga Senjata"
124,2021-12-01,"Kesedihan Nora Alexandra Antar Jerinx ke Ruang Tahanan: Baru Bebas, Harus Masuk Lagi..."
125,2021-12-01,"Tiga Pelajar SMP Berkomplot dengan Residivis, Bunuh Seorang Perempuan, LPA: Ini PR Besar bagi Masyarakat dan Pemerintah"
126,2021-12-01,"2 Polisi Penganiaya Jurnalis Tempo di Surabaya Dituntut 1,5 Tahun Penjara"
127,2021-12-01,Apakah Pengidap Diabetes Boleh Makan Kurma?
128,2021-12-01,Fenomena Langit Desember 2021: Super New Moon dan 7 Puncak Hujan Meteor
129,2021-12-01,"BWF World Tour Finals: Praveen/Melati Kembali ke Ritme Permainan, tetapi... "
130,2021-12-01,"[HOAKS] Ada Laba-Laba Berbisa di Pantai, Bisa Membunuh dalam 5 Menit"
131,2021-12-01,Penis Bengkak
132,2021-12-01,Lirik dan Chord Lagu For Memories - Wilbur Soot
133,2021-12-01,Bersiap Liburan? Berikut Skenario Pembatasan di Sektor Transportasi
134,2021-12-01,Firli Bahuri Berharap Tak Ada Lagi Korupsi Terkait Perizinan Investasi
135,2021-12-01,PLN Minta Maaf Pemeliharaan PLTGU Bikin Listrik di Batam Padam
136,2021-12-01,"100 Anak Eks Pejuang Timtim Diminta Jokowi Kerja di BUMN, Eurico Guterres: Sejarah bagi Kami"
137,2021-12-01,Peringatan BMKG: Banjir Rob Diprediksi Landa Pesisir Jakarta Utara 2-9 Desember
138,2021-12-01,Hasil BWF World Tour Finals 2021 - Marcus/Kevin Atasi Rintangan Pertama
139,2021-12-01,"Lirik dan Chord Lagu Like Rain, Like Music - Baekhyun EXO"
140,2021-12-01,Langkah Membersihkan Urine Kucing pada Karpet dan Keset
141,2021-12-01,"Keributan di Cililitan, Kaca Bus Transjakarta Dipecahkan Pakai Helm"
142,2021-12-01,"Bocah 7 Tahun di Bandung Dicabuli Pedagang Mainan, Korban Diimingi Uang Rp 5.000"
143,2021-12-01,Terduga Teroris Ditangkap di Luwu Timur Berencana Serang Aparat
144,2021-12-01,Aturan Naik Angkutan Umum di Jakarta selama PPKM Level 2
145,2021-12-01,5 Langkah Penting untuk Bangun Kebiasaan Hidup yang Baik
146,2021-12-01,Jeritan PKL Menyikapi Rencana Relokasi Mereka dari Kawasan Malioboro
147,2021-12-01,"Pimpinan MPR Usul Sri Mulyani Dicopot, Mensesneg: Itu Urusan Presiden"
148,2021-12-01,Bakal Ada 33.000 Lapangan Kerja Baru Berkat Indonesia Jadi Presidensi G20
149,2021-12-01,"BMKG Ingatkan Potensi Tsunami 8 Meter di Cilegon, Pemkot Siapkan Jalur Evakuasi Warga"
150,2021-12-01,"Waspada Siklon Tropis Teratai, BMKG Ingatkan Potensi Hujan Lebat serta Angin Kencang di 5 Daerah Ini"
151,2021-12-01,"Jadwal Padat Selama 2022, BTS Batal Tampil di Batam"
152,2021-12-01,Apa Pentingnya Senjata Hipersonik?
153,2021-12-01,"Bicarakan Album Peaches, Kai EXO: Saya Ingin Menunjukkan Sisi Baru"
154,2021-12-01,UPN Veteran Jakarta Selalu Terbuka Informasikan Meninggalnya Mahasiswa
155,2021-12-01,"Menhub Resmi Perkenalkan I-Motion, Apa Itu?"
156,2021-12-01,Bedanya Ruang Tamu dan Ruang Keluarga
157,2021-12-01,"Petani di Bandung Makin Canggih, Dikenalkan Teknologi ""Drone"" untuk Pemupukan"
158,2021-12-01,BPBD Kotabaru Kalsel Bantah Kabar Ada Korban Tewas akibat Tanah Bergerak
159,2021-12-01,"Nia Ramadhani dan Ardi Bakrie Jalani Sidang Perdana Kasus Narkoba Besok, Begini Respons Kuasa Hukum "
160,2021-12-01,Mahasiswa UGM Teliti Ubur-ubur sebagai Penghambat Kanker Payudara
161,2021-12-01,Contoh-contoh Energi Alternatif Terbarukan
162,2021-12-01,"Ditahan Lagi, Ini Perjalanan Kasus Jerinx SID vs Adam Deni"
163,2021-12-01,Lirik dan Chord Lagu Seventeen Going Under - Sam Fender
164,2021-12-01,"Kebal Krisis, Properti Syariah Tumbuh Eksponensial Selama Pandemi"
165,2021-12-01,INFOGRAFIK: Aturan Perjalanan Darat Selama Libur Natal dan Tahun Baru 2022
166,2021-12-01,"Stok Kondom KPA Pangkalpinang Menipis, Padahal Dibutuhkan Penyintas HIV/AIDS"
167,2021-12-01, Menhub Ajak Milenial Jadi Pelopor Gerakan Sadar Keselamatan Berlalu Lintas
168,2021-12-01,"BWF World Tour Finals: Kalah Start dan Buru-buru, Faktor Kekalahan Pramudya/Yeremia "
169,2021-12-01,Mau Sukses di Piala AFF 2020? Ikuti Aturan Ini
170,2021-12-01,"Wapres Ma'ruf Sebut Investasi Singapura Periode Januari-September Capai 7,3 Miliar Dolar AS"
171,2021-12-01,"PMI Manufaktur RI 53,9, Kemenkeu: Langkah Pengendalian Pandemi Membuahkan Hasil"
172,2021-12-01,UPN Veteran Jakarta: Tak Ada Tanda Kekerasan Jasad Mahasiswi yang Meninggal Saat Diklat Menwa
173,2021-12-01,Lirik dan Chord Lagu Rescue Me - Marshmello
174,2021-12-01,"Dicoret DPRD, Anggaran Sumur Resapan Bisa untuk Tambal Gaji PJLP"
175,2021-12-01,21 Kabupaten/Kota Alami Kenaikan Kasus Covid-19 Sepekan Terakhir
176,2021-12-01,Metrodata Gandeng Amazon Web Services Sediakan Layanan Transformasi dengan Cloud
177,2021-12-01,"Indonesia-Seychelles Bahas Kerja Sama Ekonomi Biru, Menteri KP Berikan Apresiasi"
178,2021-12-01,Gibran Larang ASN Solo Mudik dan Bepergian Saat Libur Natal dan Tahun Baru
179,2021-12-01,"Sudah Digencarkan Sejak 2010, Pariwisata Halal di NTB Masih Digodok"
180,2021-12-01,5 Penyebab Kucing Berhenti Menyantap Makanan Kering
181,2021-12-01,"Lahan Belum Dibayar, Warga Pagari Kawasan Sirkuit Mandalika dengan Pohon Pisang"
182,2021-12-01,"Reuni 212 Diancam Pidana, Panitia: Seharusnya Polisi Mengamankan, Bukan Menakut-nakuti!"
183,2021-12-01,Jokowi Kumpulkan Menteri di Istana Bahas Corona Omicron
184,2021-12-01,"Jadi Tahanan Kejaksaan, Musisi Jerinx Pertimbangan Ajukan Penangguhan Penahanan"
185,2021-12-01,"Waspada Varian Omicron, Dokter RS UNS Imbau Pemerintah Lakukan Hal Ini"
186,2021-12-01,"Naik Motor Bebek Sampai ke Paris, Video Perjalanan Pasangan Malaysia Ini Jadi Viral"
187,2021-12-01,ODGJ di Blitar Mengamuk: Minggir! Biar Aku Bakar Rumah Teroris Ini
188,2021-12-01,"Berkat Sinergi dan Inovasi dalam Pemulihan Ekonomi, Gojek Raih Bank Indonesia Award 2021"
189,2021-12-01,"3 Fakta Unik Restoran All You Can Eat, dari Mana Asalnya?"
190,2021-12-01,"Hasil Drawing Kejuaraan Dunia Badminton 2021, 6 Wakil Indonesia Dapat ""Bye"""
191,2021-12-01,"Cegah Predator Seksual di Game Online, Pimpinan Komisi X Usul Fitur Chat Dimatikan"
192,2021-12-01,"Hari AIDS Sedunia, Twitter Luncurkan Notifikasi Khusus HIV di Indonesia"
193,2021-12-01,"PPKM Level 3 di Tangsel, Anak 12 Tahun ke Bawah Dilarang Masuk Mal dan Bioskop"
194,2021-12-01,Lirik Lagu let you - iann dior
195,2021-12-01,"Pemerintah Bakal Kembali Terbitkan SKB 4 Menteri, Perjelas Ketentuan soal PTM Terbatas"
196,2021-12-01,Densus 88 Sita Senapan M16 dan 124 Peluru dari Terduga Teroris di Sulsel
197,2021-12-01,"Foto Viral Pasutri Naik Motor hingga Menara Eiffel, Begini Ceritanya"
198,2021-12-01,Momen Indro Satukan Lagi Warkop DKI Setelah Kasino dan Dono Tak Bicara 3 Tahun 
199,2021-12-01,Pil Covid Molnupiravir MSD Akhirnya Kantongi Izin FDA
